method,sparsity,ppl,seconds
dense,0.0,5.4720721871120634,33.9
random,0.1,7.541500353232216,38.2
random,0.2,13.286238664636572,39.1
random,0.3,43.120085955676046,39.7
random,0.4,nan,49.2
random,0.5,725.7115739782853,52.5
random,0.6,4845.947509439944,55.8
random,0.7,nan,59.2
random,0.8,nan,62.7
random,0.9,nan,66.2
oracle_gate,0.1,5.472231650687654,39.0
oracle_gate,0.2,5.473700893936156,39.8
oracle_gate,0.3,5.478566776011286,40.3
oracle_gate,0.4,5.490581694824421,50.0
oracle_gate,0.5,5.519868426819686,53.2
oracle_gate,0.6,5.580309883773164,56.5
oracle_gate,0.7,5.7303438151667745,59.9
oracle_gate,0.8,6.157195251051316,63.4
oracle_gate,0.9,8.127964794763598,66.9
oracle_contrib,0.1,5.4722879861114695,40.0
oracle_contrib,0.2,5.473638795205968,40.8
oracle_contrib,0.3,5.478274871491049,41.3
oracle_contrib,0.4,5.489095375424818,51.1
oracle_contrib,0.5,5.519108016659506,54.3
oracle_contrib,0.6,5.588146108210775,57.7
oracle_contrib,0.7,5.759259600096112,61.1
oracle_contrib,0.8,6.238359444735458,64.6
oracle_contrib,0.9,8.274082670585019,68.2
