quant,sparsity,ppl,seconds
none,0.0,5.4720721871120634,33.9
none,0.3,5.478566776011286,40.1
none,0.5,5.519868426819686,53.2
none,0.6,5.580309883773164,56.6
none,0.7,5.7303438151667745,60.0
none,0.8,6.157195251051316,63.4
none,0.9,8.127964794763598,66.9
none,0.95,15.937803704538343,68.7
int8,0.0,5.505468291499484,24.7
int8,0.3,5.50876037182886,31.5
int8,0.5,5.544834887122065,45.3
int8,0.6,5.605701841637377,48.7
int8,0.7,5.758693456010512,52.1
int8,0.8,6.1844711914496475,55.5
int8,0.9,8.131653754472682,59.0
int8,0.95,15.890807295864958,60.7
nf4,0.0,5.643694885364217,36.8
nf4,0.3,5.650037815917521,43.0
nf4,0.5,5.689535083647446,56.0
nf4,0.6,5.751911612960141,59.4
nf4,0.7,5.898751681358701,62.8
nf4,0.8,6.336081072555601,66.2
nf4,0.9,8.332719901608055,69.7
nf4,0.95,16.26086990057108,71.5
